person,position_current,connection_trump_all,connection_trump_interviews,connection_trump_campaign,connection_trumpally_all,connection_trumpally_innercircle,connection_trumpally_administration,connection_trumpally_USSenate,connection_trumpally_StateGov,connection_trumpally_RNC,connection_careerprofessional_all,connection_other_all
Aaron L. Weisman,U.S. Attorney for the District of Rhode Island,,,,,,,,,,,1
Andrew B. Birge,U.S. Attorney for the W.D. of Michigan,,,,,,,,,,1,
Andrew Lelling,U.S. Attorney for the District of Massachusetts,,,,,,,,,,1,
Ariana Fajardo Orshan,U.S. Attorney for the S.D. of Florida,,,,,,,,,,,1
B.J. Pak,U.S. Attorney for the N.D. of Georgia,,,,,,,,,,,
Bart Davis,U.S. Attorney for the District of Idaho,,,,,,,,,,,
Beth Ann Williams,Assistant Attorney General for the Office of Legal Policy,,,,1,,1,,,,,
Billy J. Williams,U.S. Attorney for the District of Oregon,,,,,,,,,,1,
Bobby Christine,U.S. Attorney for the S.D. of Georgia,,,,,,,,,,,1
Brandon Fremin,U.S. Attorney for the M.D. of Louisiana,,,,,,,,,,1,
Brian Allen Benczkowski,Assistant Attorney General for the Criminal Division,,,,1,,1,,,,,
Brian Kuester,U.S. Attorney for the E.D. of Oklahoma,,,,,,,,,,,1
Brian T. Moran,U.S. Attorney for the W.D. of Washington,,,,,,,,,,,1
Bryan Schroder,U.S. Attorney for the District of Alaska,,,,,,,,,,1,
Charles Peeler,U.S. Attorney for the M.D. of Georgia,,,,,,,,,,,1
Christina E. Nolan,U.S. Attorney for the District of Vermont,,,,,,,,,,1,
Clay Fowlkes,U.S. Attorney for the W.D. of Arkansas,,,,,,,,,,1,
Craig Carpenito,U.S. Attorney for the District of New Jersey,,,,1,1,,,,,,
D. Michael Dunavant,U.S. Attorney for the W.D. of Tennessee,,,,,,,,,,,1
D. Michael Hurst Jr.,U.S. Attorney for the S.D. of Mississippi,,,,,,,,,,1,
David C. Joseph,U.S. Attorney for the W.D. of Louisiana,,,,,,,,,,,1
David C. Weiss,U.S. Attorney for the District of Delaware,,,,,,,,,,1,
David Freed,U.S. Attorney for the M.D. of Pennsylvania,,,,,,,,,,,1
David L. Anderson,U.S. Attorney for the N.D. of California,,,,,,,,,,1,
David M. DeVillers,U.S. Attorney for the S.D. Ohio,,,,,,,,,,1,
Donald Q. Cochran,U.S. Attorney for the M.D. of Tennessee,,,,,,,,,,,1
Doug Overbey,U.S. Attorney for the E.D. of Tennessee,,,,,,,,,,,
Drew Wrigley,U.S. Attorney for the District of North Dakota,,,,,,,,,,1,
Duane Kees,U.S. Attorney for the W.D. of Arkansas,,,,1,,,,1,,,
Eric S. Dreiband,Assistant Attorney General for the Civil Rights Division,,,,1,,1,,,,,
Erica MacDonald,U.S. Attorney for the District of Minnesota,,,,,,,,,,1,
Erin Nealy Cox,U.S. Attorney for the N.D. of Texas,,,,,,,,,,,1
G. Zachary Terwilliger,U.S. Attorney for the E.D. of Virginia,,,,1,,,1,,,,
Geoffrey Berman,U.S. Attorney for the S.D. of New York,1,1,,,,,,,,,
Grant C. Jaquith,U.S. Attorney for the N.D. of New York,,,,,,,,,,1,
Gretchen C.F. Shappert,U.S. Attorney for the District of the Virgin Islands,,,,,,,,,,1,
Halsey Frank,U.S. Attorney for the District of Maine,,,,,,,,,,1,
