"","district","attorney","political_affiliation","federalist_society_tie","heritage_foundation_tie","national_rifle_association_tie","american_center_for_law_and_justice_tie","republican_national_lawyers_association_tie","christian_legal_society_bar_association_tie"
"1","U.S. Attorney for the M.D. of Alabama","Louis V. Franklin","None",NA,NA,NA,NA,NA,NA
"2","U.S. Attorney for the N.D. of Alabama","Jay Town","Republican",NA,NA,NA,NA,NA,NA
"3","U.S. Attorney for the S.D. of Alabama","Richard W. Moore","None",NA,NA,NA,NA,NA,NA
"4","U.S. Attorney for the District of Alaska","Bryan Schroder",NA,NA,NA,NA,NA,NA,NA
"5","U.S. Attorney for the District of Arizona","Michael G. Bailey","Republican",NA,NA,NA,NA,NA,NA
"6","U.S. Attorney for the E.D. of Arkansas","J. Cody Hiland",NA,NA,NA,NA,NA,NA,NA
"7","U.S. Attorney for the W.D. of Arkansas","Duane Kees","Republican",1,NA,1,1,NA,NA
"8","U.S. Attorney for the C.D. of California","Nicola T. Hanna","Republican",NA,NA,NA,NA,NA,NA
"9","U.S. Attorney for the E.D. of California","McGregor W. Scott","Republcian",1,NA,NA,NA,NA,NA
"10","U.S. Attorney for the N.D. of California","David L. Anderson",NA,1,NA,NA,NA,NA,NA
"11","U.S. Attorney for the S.D. of California","Robert S. Brewer Jr.",NA,1,NA,NA,NA,NA,NA
"12","U.S. Attorney for the District of Colorado","Jason R. Dunn",NA,NA,NA,NA,NA,NA,NA
"13","U.S. Attorney for the District of Connecticut","John Durham","None",NA,NA,NA,NA,NA,NA
"14","U.S. Attorney for the District of Delaware","David C. Weiss","None",NA,NA,NA,NA,NA,NA
"15","U.S. Attorney for the District of Columbia","Jessie K. Liu",NA,1,1,NA,NA,NA,NA
"16","U.S. Attorney for the M.D. of Florida","Maria Chapa Lopez","Republican",NA,NA,NA,NA,NA,NA
"17","U.S. Attorney for the N.D. of Florida","Larry Keefe","Democrat",NA,NA,NA,NA,NA,NA
"18","U.S. Attorney for the S.D. of Florida","Ariana Fajardo Orshan",NA,1,NA,NA,NA,NA,NA
"19","U.S. Attorney for the M.D. of Georgia","Charles Peeler",NA,NA,NA,NA,NA,NA,NA
"20","U.S. Attorney for the N.D. of Georgia","B.J. Pak","Republican",NA,NA,NA,NA,NA,NA
"21","U.S. Attorney for the S.D. of Georgia","Bobby Christine",NA,1,NA,NA,NA,NA,NA
"22","U.S. Attorney for the District of Hawaii","Kenji M. Price","Republican",1,NA,NA,NA,NA,NA
"23","U.S. Attorney for the District of Idaho","Bart Davis","Republican",1,NA,NA,NA,NA,NA
"24","U.S. Attorney for the C.D. of Illinois","John C. Milhiser","Republican",NA,NA,NA,NA,NA,NA
"25","U.S. Attorney for the N.D. of Illinois","John R. Lausch Jr.","None",NA,NA,NA,NA,NA,NA
"26","U.S. Attorney for the N.D. of Indiana","Thomas Kirsch",NA,NA,NA,NA,NA,NA,NA
"27","U.S. Attorney for the S.D. of Indiana","Joshua Minkler",NA,NA,NA,NA,NA,NA,NA
"28","U.S. Attorney for the N.D. of Iowa","Peter Deegan","Republican",NA,NA,NA,NA,NA,NA
"29","U.S. Attorney for the S.D. of Iowa","Marc Krickbaum","None",NA,NA,NA,NA,NA,NA
"30","U.S. Attorney for the District of Kansas","Stephen McAllister",NA,1,NA,NA,NA,NA,NA
"31","U.S. Attorney for the E.D. of Kentucky","Robert M. Duncan Jr.","Republcian",1,NA,NA,NA,NA,NA
"32","U.S. Attorney for the W.D. of Kentucky","Russell Coleman","Republican",NA,NA,NA,NA,NA,NA
"33","U.S. Attorney for the M.D. of Louisiana","Brandon Fremin","None",NA,NA,NA,NA,NA,NA
"34","U.S. Attorney for the W.D. of Louisiana","David C. Joseph","Republican",NA,NA,NA,NA,NA,NA
"35","U.S. Attorney for the E.D. of Louisiana","Peter G. Strasser",NA,NA,NA,NA,NA,NA,NA
